trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
145,False,"{'a': 0.2, 'e': 0.4199999999999995}",20,0,-49.211442342523476,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
146,False,"{'a': 0.2, 'e': 0.4159999999999995}",20,2,27.308353321301425,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.2, 'e': 0.4119999999999995}",30,20,20.306902794172863,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.2, 'e': 0.4079999999999995}",25,3,-9.963466266699836,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.2, 'e': 0.40399999999999947}",25,15,21.506569055089013,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.2, 'e': 0.39999999999999947}",35,26,9.984871411577588,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.2, 'e': 0.39599999999999946}",25,0,17.77663158734733,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
152,False,"{'a': 0.2, 'e': 0.39199999999999946}",25,8,-44.43339458771924,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
153,False,"{'a': 0.2, 'e': 0.38799999999999946}",25,0,-30.551469839720003,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",1
154,False,"{'a': 0.2, 'e': 0.38399999999999945}",20,13,0.8120331626071142,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.2, 'e': 0.37999999999999945}",25,10,-16.91303968884388,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
156,False,"{'a': 0.2, 'e': 0.37599999999999945}",25,2,13.169740343035219,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.2, 'e': 0.37199999999999944}",30,0,-64.74700692875726,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
158,False,"{'a': 0.2, 'e': 0.36799999999999944}",20,8,-59.06060052914613,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
